BoxNumber,FolderNumber,Contents,Date
5,250,"Gunn, William, 1750-1841. ALS to T. J. Pettigrew",1831 Jan 27
5,251,"Gurney, John Hampden, 1802-1862. 2 ALS to T. J. Pettigrew","1861, 1862"
5,252,"Gutch, John Matthew, 1776-1861. 5 ALS to T. J. Pettigrew",1848-54
5,253,"Guthrie, George James, 1785-1856. 8 ALS to T. J. Pettigrew",[1833]-45
5,254,"Gwilt, Joseph, 1784-1863. ALS to T. J. Pettigrew",1849 Mar 28
6,255,"Haigh, Daniel Henry, 1819-1879. ALS to T. J. Pettigrew",1850 Dec 21
6,256,"Halford, Sir Henry, bart., 1766-1844. 3 ALS to T. J. Pettigrew",1829-37
6,257,"Haliburton, James, 1788-1862. 7 ALS to T. J. Pettigrew",1833-48
6,258,"Hall, Marshall, 1790-1857. ALS to T. J. Pettigrew",1838 Feb 14
6,259,"Halliday, Sir Andrew, 1781-1839. 2 ALS to T. J. Pettigrew","1823, 1826"
6,260,"Hamilton, Henry Parr, 1794-1880. 6 ALS to T. J. Pettigrew",1844-58
6,261,"Hamilton, R., col. ALS to T. J. Pettigrew",1826 Jul 21
6,262,"Hamilton, William Richard, 1777-1859. 7 ALS and 1 LS to T. J. Pettigrew",1830-45
6,263,"Hancock, Thomas, 1783-1849. 2 ALS to T. J. Pettigrew","1834, 1842"
6,264,"Hargrove, William, 1788-1862. ALS to T. J. Pettigrew",1850 Apr 22
6,265,"Harland, John, 1806-1868. ALS to T. J. Pettigrew",1850 Sep 10
6,266,"Harriott, Thomas. ALS to T. J. Pettigrew",1813 Dec 8
6,267,"Harrod, Henry, 1817-1871. ALS to T. J. Pettigrew",1857 Aug 7
6,268,"Harrowby, Dudley Francis Stuart Ryder, 3d Earl of, 1831-1900. 3 ALS to T. J. Pettigrew",1851-52
